kaner,karavīra
kanautī,karṇapattraka
kannā,karṇaka
kannī,karṇikā
kapṛā,karpaṭa
kapās,karpāsa
kapūr,kapūra
kabrā,karbara
kamaṇḍal,kamaṇḍalu
kamlī,kambalikā
kamār,karmāra
kamerā,karmakara
kamelā,kāmpīla
karañā,karãnja
karañā,karañja
kar,kara
karkarā,karkaṭa
karkarānā,kaṭakaṭa
kargatā,kaṭi
karnī,karaṇīya
karbī,kaḍamba
karvaṭ,karapattra
karvar,kali
karvār,karapāla
karvārā,karapāla
karvāl,karapāla
karah,karabha
karhā,karabha
karāṁkul,kalāṅkura
karāī,kalāya
karāl,kaḍāra
karil,karira
karīr,karīra
karīr,karīra
karelā,kāravella
karauṁdā,karamarda
karaut,karapattra
kal,kalya
kal,kalā
kal,kalya
kal,kali
kal,kali
kalam,kaḍamba
kalmī,kaḍambī
kalvār,kalyapāla
kalsā,kalaśa
kalsī,kalása
kalhārī,kalahakāra
kalāī,kalācī
kalāī,kalāya
kalānā,kalayati
kaliṅdā,kālindaka
kalī,kalikā
kalejā,kāleyaka
kales,kleśa
kalol,kallola
kallā,karī̆ra
kas,kaṣa
kasnā,karṣati
kasnā,kaṣati
kasī,karṣaka
kasīs,kāsīsa
kaserā,kāṁsyakāra
kaserū,kaśeruka
kasauṁdā,kāsamarda
kasau,kīdṛśa
kassan,-ss
kahaṁ,kakṣam
kahan,kathana
kahnā,kathayati
kahāno,kathānaka
kahuṁ,kakṣam
kāṁkṛī,karkara
kāṁkh,kakṣā
kāṁkhnā,kāṅkṣati
kāṁgnī,kaṅgunī
kāṁjī,kāñjika
kāṁṭā,kaṇṭaka
kāṁṭhā,kaṅṭha
kāṁṛ-,kaṇḍayati
kāṁṛī,kāṇḍa
kāṁdā,kanda
kāṁdu,kandu
kāṁdo,kardama
kāṁdh-,skandhayati
kāṁpnā,kampate
kāṁs,kāśa
kāṁsā,kāṁsyaka
kākṛā,kakkaṭa
kākṛāsiṅgī,karkaṭaśr̥ṅgikā
kākh,kakṣa
kāg,kāka
kāgā,kāka
kāch,kakṣyā
kāj,kārya
kājal,kajjala
kāṭnā,kartati
kāṭh,kāṣṭha
kāṭhī,kāṣṭhikā
kātī,karttrī
kād,karda
kādā,karda
kādo,kardama
kān,karṇa
kānā,kāṇa
kānā,karṇaka
kānī,kanya
